athlete_id,display_name,category
58664,Anmol KHARB,WS-U19
58664,Anmol KHARB,Singles
58664,Anmol KHARB,WS
59687,Unnati HOODA,WS-U19
59687,Unnati HOODA,WS
68322,Ayush SHETTY,MS
68322,Ayush SHETTY,MS-U19
68322,Ayush SHETTY,Singles
68870,Lakshya SEN,Singles
68870,Lakshya SEN,Men's Singles
68870,Lakshya SEN,BS U19
68870,Lakshya SEN,BS U17
68870,Lakshya SEN,MS U19
68870,Lakshya SEN,MS
68870,Lakshya SEN,MS-U19
69093,Priyanshu RAJAWAT,BS U17
69093,Priyanshu RAJAWAT,BS U15
69093,Priyanshu RAJAWAT,MS-U19
69093,Priyanshu RAJAWAT,MS U19
69093,Priyanshu RAJAWAT,Singles
69093,Priyanshu RAJAWAT,MS
70595,Shriyanshi VALISHETTY,WS
70595,Shriyanshi VALISHETTY,WS-U19
70595,Shriyanshi VALISHETTY,WS U13
73173,PUSARLA V. Sindhu,GS U19
73173,PUSARLA V. Sindhu,Women's Singles
73173,PUSARLA V. Sindhu,Singles
73173,PUSARLA V. Sindhu,WS
74481,Anupama UPADHYAYA,WS
74481,Anupama UPADHYAYA,Singles
74481,Anupama UPADHYAYA,WS-U19
74481,Anupama UPADHYAYA,WS U15
82572,Pranay SHETTIGAR,Singles
82572,Pranay SHETTIGAR,MS-U19
82572,Pranay SHETTIGAR,MS
83950,PRANNOY H. S.,Men's Singles
83950,PRANNOY H. S.,MS
83950,PRANNOY H. S.,Singles
91807,Rakshitha Sree SANTHOSH RAMRAJ,Singles
91807,Rakshitha Sree SANTHOSH RAMRAJ,WS-U19
91807,Rakshitha Sree SANTHOSH RAMRAJ,WS
97168,AALISHA NAIK,WS
97168,AALISHA NAIK,WS-U19
97168,AALISHA NAIK,Singles
99042,Tanvi SHARMA,WS
99042,Tanvi SHARMA,Singles
99042,Tanvi SHARMA,WS-U19
